City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
243,Pangkalanbuun,ID,2022-01-29 15:36:01,-2.6833,111.6167,77.14,89,100,1.41
244,Srednekolymsk,RU,2022-01-29 15:36:01,67.45,153.6833,-13.85,98,100,4.99
245,Bandarbeyla,SO,2022-01-29 15:36:02,9.4942,50.8122,76.84,70,53,21.88
246,Havelock,US,2022-01-29 15:36:02,34.8791,-76.9013,35.98,80,100,10.0
247,La Esperanza,GT,2022-01-29 15:36:03,14.8667,-91.5667,58.95,68,100,6.91
248,Tshikapa,CD,2022-01-29 15:36:03,-6.4167,20.8,78.66,81,100,3.96
249,Yoichi,JP,2022-01-29 15:36:04,43.2039,140.7703,20.12,71,100,19.89
250,Kungurtug,RU,2022-01-29 15:36:04,50.5994,97.5228,-20.22,98,42,1.52
251,Matara,LK,2022-01-29 15:36:05,5.9485,80.5353,78.82,84,78,3.78
252,Florence,IT,2022-01-29 15:36:05,43.7667,11.25,56.08,48,0,3.44
253,Chiang Klang,TH,2022-01-29 15:36:06,19.2938,100.8617,67.57,56,12,0.85
254,Kampong Cham,KH,2022-01-29 15:36:06,11.9934,105.4635,78.71,68,89,7.02
255,Katsuura,JP,2022-01-29 15:36:06,35.1333,140.3,42.91,88,75,15.03
256,Camacha,PT,2022-01-29 15:36:07,33.0833,-16.3333,64.53,63,0,6.91
257,Bitung,ID,2022-01-29 15:36:07,1.4451,125.1824,77.85,84,79,5.88
258,Nizhniy Tsasuchey,RU,2022-01-29 15:36:08,50.5167,115.1333,-8.37,92,12,6.38
259,Ancud,CL,2022-01-29 15:31:51,-41.8697,-73.8203,67.42,57,30,8.41
260,San Policarpo,PH,2022-01-29 15:36:09,12.1791,125.5072,79.21,83,99,6.73
261,Celestun,MX,2022-01-29 15:36:09,20.8667,-90.4,69.76,63,100,19.28
262,Fairbanks,US,2022-01-29 15:36:09,64.8378,-147.7164,-13.99,75,0,0.0
263,Faanui,PF,2022-01-29 15:32:58,-16.4833,-151.75,80.02,75,12,10.31
264,Bubaque,GW,2022-01-29 15:36:10,11.2833,-15.8333,79.12,54,32,15.48
265,Saint-Joseph,RE,2022-01-29 15:36:10,-21.3667,55.6167,80.98,85,78,10.69
266,Xai-Xai,MZ,2022-01-29 15:36:11,-25.0519,33.6442,78.69,80,70,14.03
267,Sinnamary,GF,2022-01-29 15:36:11,5.3833,-52.95,81.99,66,43,6.82
268,Tashtyp,RU,2022-01-29 15:36:12,52.7939,89.8983,3.9,94,100,0.4
269,Batagay-Alyta,RU,2022-01-29 15:36:12,67.8006,130.4114,-17.79,94,31,5.55
270,Yenagoa,NG,2022-01-29 15:36:12,4.9247,6.2642,99.77,12,31,3.44
271,Eucaliptus,BO,2022-01-29 15:36:13,-17.5833,-67.5167,55.09,68,100,4.47
272,Kodinsk,RU,2022-01-29 15:36:13,58.6881,99.1844,-3.69,100,99,2.8
273,Santa Fe,AR,2022-01-29 15:36:14,-31.6333,-60.7,87.01,40,0,8.01
274,Rancho Palos Verdes,US,2022-01-29 15:33:51,33.7445,-118.387,61.88,24,100,3.0
275,Williams Lake,CA,2022-01-29 15:35:48,52.1415,-122.1445,27.97,82,75,8.05
276,Hatillo,PR,2022-01-29 15:37:15,18.4863,-66.8254,85.1,67,0,1.99
277,Bama,NG,2022-01-29 15:37:16,11.5221,13.6856,82.54,14,10,14.2
278,Namatanai,PG,2022-01-29 15:37:16,-3.6667,152.4333,79.05,84,96,5.61
279,Jiangyou,CN,2022-01-29 15:37:16,31.7667,104.7167,41.29,85,100,1.72
280,Shimoda,JP,2022-01-29 15:37:17,34.6667,138.95,40.1,65,58,11.34
281,Jackson,US,2022-01-29 15:37:17,42.4165,-122.8345,51.04,86,0,0.0
282,Sao Filipe,CV,2022-01-29 15:34:26,14.8961,-24.4956,71.62,69,100,11.07
283,Husavik,IS,2022-01-29 15:37:18,66.0449,-17.3389,26.51,77,25,15.23
284,Bloemfontein,ZA,2022-01-29 15:37:18,-29.1211,26.214,85.48,25,40,2.3
285,Adet,ET,2022-01-29 15:37:19,11.2644,37.4888,69.21,41,66,10.56
286,Mathbaria,BD,2022-01-29 15:37:19,22.2876,89.9593,60.03,43,0,4.25
287,Shizunai,JP,2022-01-29 15:37:20,42.3339,142.3669,22.05,63,98,19.53
288,Palana,RU,2022-01-29 15:37:20,59.1167,159.9667,27.48,69,100,25.81
