City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
205,Saskylakh,RU,2022-02-01 20:30:55,71.9167,114.0833,-28.08,100,51,1.39,broken clouds
206,Lagoa,PT,2022-02-01 20:33:48,39.05,-27.9833,58.44,75,59,17.4,broken clouds
207,Galesong,ID,2022-02-01 20:33:49,-5.3166,119.3661,75.22,83,100,3.8,overcast clouds
208,Asau,RO,2022-02-01 20:33:49,46.4333,26.4,32.95,78,100,3.33,overcast clouds
209,Walvis Bay,NA,2022-02-01 20:33:50,-22.9575,14.5053,70.09,81,33,5.84,scattered clouds
210,Longyearbyen,SJ,2022-02-01 20:33:50,78.2186,15.6401,22.84,58,75,3.44,broken clouds
211,Vardo,NO,2022-02-01 20:32:00,70.3705,31.1107,24.78,80,0,6.91,clear sky
212,Villa Bruzual,VE,2022-02-01 20:33:51,9.3328,-69.1208,94.64,25,36,4.03,scattered clouds
213,Macenta,GN,2022-02-01 20:33:51,8.5435,-9.471,72.79,20,100,2.91,overcast clouds
214,Alofi,NU,2022-02-01 20:33:52,-19.0595,-169.9187,80.49,74,40,4.61,scattered clouds
215,Lafiagi,NG,2022-02-01 20:33:52,8.8667,5.4167,78.26,14,0,5.75,clear sky
216,Nanortalik,GL,2022-02-01 20:33:53,60.1432,-45.2371,8.8,77,10,11.61,clear sky
217,Shimoda,JP,2022-02-01 20:33:53,34.6667,138.95,37.11,61,1,14.67,clear sky
218,Namikupa,TZ,2022-02-01 20:33:54,-10.8333,39.6,71.4,98,100,2.08,light rain
219,Iberia,US,2022-02-01 20:33:54,29.9502,-91.7507,71.98,68,100,18.41,moderate rain
220,Lata,PT,2022-02-01 20:33:54,40.1629,-8.3327,48.94,74,0,4.21,clear sky
221,Sao Jose Da Coroa Grande,BR,2022-02-01 20:33:55,-8.8978,-35.1478,80.58,75,32,7.2,scattered clouds
222,Kurumkan,RU,2022-02-01 20:33:55,54.3,110.3,-16.47,93,79,3.89,broken clouds
223,Lhokseumawe,ID,2022-02-01 20:33:56,5.1801,97.1507,76.1,86,26,1.88,scattered clouds
224,Bengkulu,ID,2022-02-01 20:34:56,-3.8004,102.2655,73.81,85,100,5.91,overcast clouds
225,Pochutla,MX,2022-02-01 20:34:57,15.7432,-96.4661,86.83,45,1,12.8,clear sky
226,Mancio Lima,BR,2022-02-01 20:34:57,-7.6142,-72.8958,91.47,52,40,8.05,scattered clouds
227,Guerrero Negro,MX,2022-02-01 20:34:57,27.9769,-114.0611,64.42,57,100,12.44,overcast clouds
228,Ballina,AU,2022-02-01 20:34:58,-28.8667,153.5667,77.18,92,100,4.61,overcast clouds
229,Vaasa,FI,2022-02-01 20:34:58,63.096,21.6158,6.82,85,97,3.44,overcast clouds
230,Lebedinyy,RU,2022-02-01 20:34:58,58.5167,125.5167,-16.06,100,100,3.2,overcast clouds
231,Bundaberg,AU,2022-02-01 20:34:59,-24.85,152.35,78.22,92,99,1.01,overcast clouds
232,Monrovia,LR,2022-02-01 20:30:11,6.3005,-10.7969,79.79,83,77,9.26,broken clouds
233,Imelda,PH,2022-02-01 20:34:59,7.65,123.95,76.69,84,100,3.33,overcast clouds
234,Chapayeve,UA,2022-02-01 20:35:00,49.3662,35.8749,24.62,98,100,3.69,overcast clouds
235,Ketchikan,US,2022-02-01 20:34:14,55.3422,-131.6461,33.78,80,0,3.44,clear sky
236,Zabol,AF,2022-02-01 20:35:00,32.25,67.25,40.23,47,70,6.22,broken clouds
237,Bandarbeyla,SO,2022-02-01 20:34:37,9.4942,50.8122,76.08,76,54,15.64,broken clouds
238,Margate,GB,2022-02-01 20:35:01,51.3813,1.3862,53.04,74,98,7.0,overcast clouds
239,Luangwa,ZM,2022-02-01 20:35:01,-15.6167,30.4167,72.25,94,5,1.7,clear sky
240,Coihaique,CL,2022-02-01 20:31:26,-45.5752,-72.0662,68.61,37,75,10.36,broken clouds
241,Nara,JP,2022-02-01 20:35:02,34.6851,135.8049,35.49,59,28,6.2,scattered clouds
242,Brae,GB,2022-02-01 20:35:02,60.3964,-1.353,37.31,64,100,26.42,overcast clouds
243,Karratha,AU,2022-02-01 20:35:03,-20.7377,116.8463,83.43,75,92,10.96,overcast clouds
244,Masvingo,ZW,2022-02-01 20:33:19,-20.0637,30.8277,70.97,63,93,4.52,overcast clouds
245,Khatanga,RU,2022-02-01 20:35:03,71.9667,102.5,-36.4,99,22,2.46,few clouds
246,Guiratinga,BR,2022-02-01 20:35:04,-16.3494,-53.7583,75.25,89,80,4.76,broken clouds
247,Ikwiriri,TZ,2022-02-01 20:35:04,-7.9562,38.9716,73.76,96,2,2.17,light rain
248,Bukama,CD,2022-02-01 20:35:05,-9.2,25.85,69.96,96,96,0.98,overcast clouds
249,Gladstone,AU,2022-02-01 20:31:51,-23.85,151.25,80.78,83,100,3.44,overcast clouds
250,Kamaishi,JP,2022-02-01 20:35:05,39.2667,141.8833,30.54,69,51,6.11,broken clouds
251,Kruisfontein,ZA,2022-02-01 20:32:32,-34.0033,24.7314,74.88,68,100,4.94,overcast clouds
252,Itarema,BR,2022-02-01 20:35:06,-2.9248,-39.9167,80.71,76,100,14.97,overcast clouds
253,Calabar,NG,2022-02-01 20:35:07,4.9517,8.322,76.62,70,15,2.73,few clouds
254,Kloulklubed,PW,2022-02-01 20:35:07,7.0419,134.2556,79.3,82,100,16.91,moderate rain
255,North Bend,US,2022-02-01 20:35:08,43.4065,-124.2243,47.16,97,100,3.44,overcast clouds
256,Ostrovnoy,RU,2022-02-01 20:35:08,68.0531,39.5131,17.56,92,100,7.38,overcast clouds
257,Brownsville,US,2022-02-01 20:35:08,25.9018,-97.4975,71.89,77,40,8.05,scattered clouds
258,Florianopolis,BR,2022-02-01 20:34:04,-27.6146,-48.5012,80.55,68,0,3.0,clear sky
259,Arlit,NE,2022-02-01 20:35:09,18.7369,7.3853,64.71,11,3,8.14,clear sky
260,Rio Grande,BR,2022-02-01 20:33:15,-32.035,-52.0986,78.91,54,0,11.97,clear sky
